order_id,customer_id,product_id,quantity,order_date
184,5028,542,3,2026-03-10
185,5585,449,2,2026-01-08
186,6784,938,3,2026-02-23
187,2331,102,5,2026-01-24
188,1304,981,4,2026-03-20
189,5536,254,1,2026-03-21
190,7364,371,3,2026-02-11
191,3768,871,5,2026-01-13
192,9173,275,4,2026-03-28
193,3855,137,1,2026-02-23
194,1825,378,1,2026-02-16
195,902,242,5,2026-03-25
196,1739,436,2,2026-03-29
197,902,871,4,2026-04-12
198,2321,413,1,2026-03-06
199,2644,527,5,2026-02-23
200,6447,871,5,2026-01-10
201,26,802,1,2026-04-07
202,9080,645,1,2026-01-24
203,5968,884,1,2026-04-03
204,1543,974,3,2026-03-21
205,6741,566,5,2026-01-04
206,5387,580,5,2026-03-30
207,6637,510,4,2026-01-25
208,2629,921,3,2026-01-15
209,4416,121,2,2026-01-09
210,4822,846,5,2026-03-27
211,9639,226,4,2026-01-13
212,8221,923,3,2026-03-08
213,6317,929,1,2026-02-03
214,1533,946,1,2026-01-15
215,9366,999,5,2026-02-26
216,1727,370,1,2026-03-25
217,7005,923,1,2026-03-17
218,5456,249,5,2026-01-17
219,1273,968,3,2026-03-19
220,926,28,2,2026-01-19
221,6057,163,5,2026-04-02
222,3023,190,2,2026-03-09
223,2744,41,4,2026-01-07
224,6201,389,2,2026-02-20
225,7825,841,2,2026-02-04
226,2290,364,3,2026-03-15
227,1344,436,2,2026-03-01
228,8857,161,4,2026-03-19
229,9656,732,4,2026-01-27
230,6622,813,5,2026-02-11
231,1967,898,4,2026-02-05
232,2919,345,1,2026-03-12
233,6892,200,3,2026-01-29
234,9709,592,3,2026-01-12
235,6609,513,5,2026-02-26
236,5610,11,4,2026-01-04
237,8260,474,1,2026-03-21
238,9263,867,5,2026-03-13
239,9711,924,2,2026-02-06
240,7994,274,3,2026-04-06
241,9383,886,2,2026-01-14
242,7109,138,1,2026-02-22
243,6612,451,5,2026-01-05
244,1603,774,1,2026-03-22
245,3638,742,5,2026-02-20
246,5317,453,1,2026-04-08
247,9918,339,5,2026-01-06
248,5607,215,4,2026-01-19
249,5237,199,4,2026-02-04
250,1651,319,5,2026-02-12
251,4286,570,5,2026-03-05
252,6307,865,1,2026-04-09
253,7526,513,1,2026-03-21
254,3589,445,2,2026-02-16
255,3138,717,1,2026-04-11
256,3475,998,3,2026-03-07
257,892,976,3,2026-03-20
258,4575,232,3,2026-04-07
259,1235,690,5,2026-01-31
260,3580,69,4,2026-02-24
261,4299,853,4,2026-02-03
262,7346,826,4,2026-03-21
263,535,781,1,2026-04-02
264,1858,190,2,2026-03-20
265,7281,841,5,2026-03-02
266,7421,382,4,2026-03-20
267,440,904,4,2026-04-03
268,5935,571,2,2026-01-13
269,2256,352,3,2026-04-12
270,6992,631,5,2026-04-14
271,3341,50,5,2026-03-19
272,5053,928,4,2026-02-12
273,9464,746,5,2026-01-12
274,5378,59,5,2026-01-28
275,4534,892,4,2026-03-18
276,2985,504,5,2026-01-12
277,3203,507,3,2026-04-11
278,499,354,5,2026-02-17
279,9801,403,2,2026-01-14
280,5187,818,2,2026-03-17
281,1406,414,5,2026-03-01
282,2949,64,1,2026-01-30
283,2972,315,5,2026-04-11
284,1093,118,4,2026-02-16
285,8015,629,2,2026-03-16
286,6500,419,3,2026-03-08
287,6096,674,5,2026-03-16
288,511,582,4,2026-03-12
289,9050,740,1,2026-03-27
290,8425,593,3,2026-04-04
291,164,809,2,2026-03-20
292,8425,332,5,2026-01-13
293,6779,532,3,2026-03-22
294,9870,631,5,2026-01-12
295,5968,326,1,2026-04-14
296,1243,172,4,2026-01-05
297,9357,198,4,2026-02-20
298,1359,839,1,2026-03-02
299,9105,156,5,2026-03-31
300,8291,756,5,2026-02-08
301,3996,285,1,2026-01-23
302,4449,920,3,2026-03-14
303,9951,250,4,2026-01-24
304,7696,685,2,2026-01-10
305,8465,107,5,2026-01-28
306,2371,442,5,2026-04-05
307,2855,374,1,2026-01-13
308,1943,421,1,2026-01-17
309,9528,636,1,2026-01-05
310,4930,687,1,2026-04-06
311,3392,244,5,2026-04-06
312,4653,196,3,2026-01-16
313,9339,74,1,2026-03-23
314,5072,131,3,2026-03-09
315,4492,830,3,2026-04-06
316,1954,74,5,2026-01-21
317,3525,443,3,2026-04-02
318,5916,701,5,2026-03-20
319,51,742,2,2026-02-24
320,6518,835,4,2026-01-10
321,6733,434,5,2026-04-03
322,7569,516,4,2026-01-09
323,9223,203,5,2026-01-07
324,4108,609,4,2026-02-19
325,6931,472,1,2026-01-16
326,5886,873,5,2026-04-06
327,4394,495,2,2026-02-19
328,5278,493,5,2026-04-03
329,4823,529,5,2026-01-23
330,5424,563,5,2026-01-06
331,1275,153,4,2026-01-30
332,7017,929,2,2026-02-24
333,3570,34,4,2026-04-15
334,4999,607,2,2026-03-02
335,7511,939,4,2026-01-02
336,3280,260,1,2026-03-02
337,8122,995,3,2026-02-25
338,6306,946,2,2026-01-14
339,2776,404,1,2026-01-28
340,6487,429,3,2026-03-08
341,3493,794,4,2026-01-21
342,3143,117,2,2026-02-08
343,7417,205,4,2026-03-12
344,4186,139,3,2026-02-22
345,96,531,1,2026-01-20
346,8497,499,4,2026-01-30
347,6502,703,4,2026-03-07
348,7435,545,2,2026-04-15
349,686,713,1,2026-04-08
350,3633,579,2,2026-01-28
351,6802,623,4,2026-02-09
352,4207,409,4,2026-01-26
353,2316,630,2,2026-03-01
354,3750,272,4,2026-03-27
355,9145,93,1,2026-01-03
356,9092,526,1,2026-01-05
357,2776,105,5,2026-02-28
358,4973,404,3,2026-02-04
359,5623,341,3,2026-02-11
360,5005,941,5,2026-02-28
361,69,507,1,2026-01-18
362,4316,24,4,2026-04-04
363,1493,241,2,2026-02-11
364,4331,833,4,2026-03-07
365,6586,709,3,2026-02-21
366,3974,640,3,2026-03-14
367,3722,332,3,2026-02-06
368,4073,159,1,2026-01-11
369,336,277,1,2026-01-07
370,8799,423,1,2026-01-02
371,8270,949,3,2026-03-19
372,2589,738,1,2026-03-10
373,6808,699,1,2026-02-04
374,8269,495,4,2026-03-22
375,4738,406,5,2026-03-08
376,4502,57,2,2026-03-10
377,1088,706,1,2026-02-06
378,5299,234,5,2026-03-13
379,3410,532,3,2026-04-10
380,7712,304,4,2026-04-09
381,9762,684,4,2026-02-21
382,6719,842,3,2026-01-01
383,3331,229,4,2026-03-21
384,5250,127,5,2026-02-23
385,8698,480,1,2026-03-23
386,8154,154,2,2026-02-12
387,5558,638,3,2026-02-23
388,8595,927,2,2026-01-18
389,6530,286,1,2026-03-23
390,3153,84,2,2026-04-04
391,6389,889,4,2026-01-07
392,4580,569,4,2026-03-18
393,1106,142,3,2026-04-09
394,5766,87,5,2026-01-08
395,2677,213,1,2026-02-26
396,5446,858,5,2026-03-28
397,5697,419,4,2026-01-10
398,7275,851,3,2026-01-30
399,4996,541,3,2026-03-08
400,7067,612,4,2026-02-27
401,1496,385,3,2026-03-12
402,7935,654,5,2026-03-23
403,6155,458,5,2026-03-21
404,5785,261,3,2026-03-08
405,5792,684,4,2026-01-19
406,7690,123,5,2026-03-22
407,2550,71,1,2026-04-15
408,6376,403,5,2026-02-22
409,2794,13,1,2026-03-16
410,6152,951,4,2026-01-17
411,3906,271,1,2026-02-19
412,8157,406,2,2026-01-20
413,2759,209,3,2026-02-15
414,7619,891,3,2026-02-05
415,2642,459,4,2026-03-16
416,210,721,4,2026-01-14
417,8910,826,1,2026-01-08
418,1633,895,1,2026-02-25
419,9587,63,2,2026-01-31
420,5330,903,4,2026-02-03
421,3036,241,4,2026-03-27
422,5804,495,2,2026-04-07
423,6335,963,1,2026-02-20
424,195,837,4,2026-02-27
425,3887,534,2,2026-02-16
426,2341,122,5,2026-02-01
427,4429,109,1,2026-02-03
428,5423,360,1,2026-03-19
429,6175,948,3,2026-03-19
430,1328,954,1,2026-02-26
431,2674,602,3,2026-03-16
432,5971,310,1,2026-04-12
433,1026,16,1,2026-01-12
434,1041,999,1,2026-03-24
435,1017,724,1,2026-02-07
436,5050,923,3,2026-03-08
437,2729,57,5,2026-01-14
438,9464,928,4,2026-02-22
439,5655,615,1,2026-03-24
440,2871,707,5,2026-01-27
441,1058,867,4,2026-02-26
442,5424,137,5,2026-03-26
443,8983,622,5,2026-02-22
444,8020,476,3,2026-03-24
445,8296,727,2,2026-01-03
446,4731,629,5,2026-01-12
447,1277,774,2,2026-01-01
448,7568,604,5,2026-03-14
449,3827,394,4,2026-01-15
450,6760,199,5,2026-03-11
451,5703,329,2,2026-02-18
452,6733,139,1,2026-02-18
453,2620,805,5,2026-01-14
454,2731,418,4,2026-03-19
455,4506,899,4,2026-03-16
456,7607,77,4,2026-03-24
457,8915,916,2,2026-03-21
458,1859,119,4,2026-01-03
459,8622,485,3,2026-02-22
460,2933,443,5,2026-01-17
461,399,404,3,2026-02-18
462,5491,343,5,2026-02-07
463,3964,479,1,2026-02-13
464,6349,105,4,2026-01-29
465,3646,636,1,2026-01-21
466,2046,84,4,2026-03-14
467,1834,283,1,2026-02-01
468,5725,868,1,2026-03-05
469,1395,419,3,2026-03-15
470,2023,631,2,2026-04-15
471,7463,231,2,2026-04-13
472,8242,911,3,2026-01-17
473,8492,826,1,2026-03-27
474,4652,795,4,2026-01-27
475,5557,847,2,2026-01-28
476,5891,913,5,2026-02-28
477,5054,903,3,2026-01-11
478,2158,143,5,2026-01-05
479,1011,86,1,2026-02-14
480,6426,375,5,2026-01-07
481,107,444,4,2026-01-23
482,2804,596,4,2026-03-10
483,5643,134,3,2026-02-12
484,1257,789,2,2026-01-03
485,9427,996,5,2026-04-07
486,998,424,4,2026-01-19
487,2448,598,4,2026-02-21
488,6590,196,5,2026-04-10
489,6866,120,1,2026-03-10
490,4415,715,3,2026-02-16
491,942,805,5,2026-03-16
492,4778,198,3,2026-01-03
493,8576,51,2,2026-03-22
494,6989,716,1,2026-03-03
495,9471,530,2,2026-01-26
496,8854,378,5,2026-02-19
497,8538,616,3,2026-02-08
498,3986,801,5,2026-04-15
499,4035,833,1,2026-03-27
500,3180,811,2,2026-01-25
501,9948,580,4,2026-02-23
502,4783,498,4,2026-03-31
503,9467,331,3,2026-02-01
504,8917,17,2,2026-04-12
505,5477,190,5,2026-03-22
506,6062,221,1,2026-02-27
507,1411,528,1,2026-01-06
508,3173,348,2,2026-03-15
509,1635,149,5,2026-02-08
510,2932,154,1,2026-02-14
511,1951,149,3,2026-04-05
512,1206,756,1,2026-02-26
513,7678,410,4,2026-02-09
514,4331,43,3,2026-03-03
515,1394,372,5,2026-02-06
516,8541,724,1,2026-01-10
517,5030,397,5,2026-04-02
518,6385,600,5,2026-01-14
519,9330,916,3,2026-04-03
520,8431,631,4,2026-01-10
521,747,317,4,2026-01-21
522,2785,728,4,2026-02-22
523,9460,446,5,2026-02-03
524,8693,217,4,2026-03-15
525,6198,946,1,2026-03-20
526,3631,462,4,2026-03-04
527,1935,703,1,2026-02-26
528,3071,734,2,2026-03-19
529,9442,164,1,2026-01-16
530,602,298,2,2026-01-30
531,6991,430,5,2026-02-09
532,3760,562,5,2026-01-09
533,7149,131,4,2026-02-07
534,9539,270,5,2026-02-24
535,7483,955,1,2026-03-22
536,8057,564,4,2026-02-12
537,9105,574,5,2026-01-15
538,2342,822,1,2026-01-15
539,5134,201,3,2026-01-03
540,2496,45,4,2026-03-21
541,6685,243,1,2026-03-08
542,7732,867,2,2026-01-31
543,9658,147,3,2026-02-18
544,8563,996,5,2026-01-29
545,8593,694,5,2026-02-24
546,2639,194,5,2026-03-11
547,3023,691,4,2026-04-02
548,762,116,5,2026-01-23
549,9277,462,5,2026-02-23
550,4108,45,5,2026-02-13
551,6725,423,4,2026-02-22
552,5339,875,1,2026-04-12
553,8735,585,1,2026-03-16
554,2431,47,3,2026-04-15
555,4117,611,3,2026-01-15
556,5674,714,3,2026-04-04
557,2431,119,3,2026-04-12
558,4626,12,1,2026-04-01
559,1645,663,2,2026-03-16
560,5559,187,2,2026-04-11
561,8762,516,2,2026-01-20
562,3944,305,3,2026-02-13
563,7388,555,1,2026-01-21
564,5067,253,1,2026-03-14
565,7086,912,1,2026-03-08
566,9638,784,2,2026-02-15
567,2261,998,3,2026-01-08
568,1874,210,3,2026-03-21
569,492,405,5,2026-01-04
570,7002,217,4,2026-03-25
571,3093,771,5,2026-01-04
572,7205,554,4,2026-01-02
573,8714,866,1,2026-01-23
574,9885,287,5,2026-03-13
575,2556,875,2,2026-03-13
576,5997,771,2,2026-01-21
577,301,373,3,2026-01-30
578,3035,435,4,2026-03-14
579,7789,440,3,2026-03-27
580,6052,353,2,2026-01-25
581,5153,529,5,2026-02-11
582,2887,79,4,2026-02-24
583,9661,72,4,2026-02-14
584,9223,192,5,2026-02-06
585,63,905,4,2026-02-11
586,3257,832,3,2026-02-23
587,3103,20,1,2026-03-03
588,3449,186,5,2026-01-15
589,9168,147,5,2026-04-08
590,5635,520,2,2026-01-12
591,2326,318,3,2026-02-08
592,9860,39,3,2026-04-03
593,944,957,4,2026-01-02
594,2232,26,1,2026-04-15
595,7030,594,4,2026-03-02
596,3476,25,2,2026-04-07
597,3471,243,5,2026-02-19
598,7883,889,3,2026-03-05
599,9485,959,4,2026-03-05
600,2430,493,2,2026-04-09
601,8642,636,4,2026-01-12
602,1481,115,1,2026-03-05
603,3671,432,2,2026-02-08
604,4164,652,1,2026-02-14
605,9012,947,1,2026-01-03
606,3706,593,4,2026-02-12
607,4455,939,4,2026-01-16
608,7466,305,4,2026-02-21
609,3200,262,3,2026-01-30
610,1689,405,2,2026-01-10
611,3431,449,1,2026-01-17
612,5618,102,2,2026-01-05
613,7166,32,3,2026-01-09
614,5459,435,2,2026-03-03
615,4734,480,1,2026-04-14
616,9730,930,5,2026-02-23
617,5032,791,1,2026-03-24
618,3633,981,5,2026-04-01
619,4964,349,4,2026-01-19
620,7039,561,1,2026-02-01
621,1510,529,4,2026-02-15
622,2137,467,2,2026-02-05
623,1143,685,5,2026-01-03
624,116,504,3,2026-01-30
625,9030,138,1,2026-01-07
626,1372,847,2,2026-01-18
627,1223,898,3,2026-03-02
628,3461,999,4,2026-01-17
629,9638,0,2,2026-03-10
630,7658,47,5,2026-03-30
631,7898,611,3,2026-03-05
632,5645,530,5,2026-02-19
633,8117,774,3,2026-04-08
634,6731,831,3,2026-04-03
635,5581,809,1,2026-03-10
636,259,589,2,2026-04-11
637,8600,811,4,2026-01-27
638,7753,117,3,2026-01-23
639,2818,94,3,2026-01-04
640,2519,468,4,2026-03-04
641,417,101,2,2026-04-11
642,2810,512,5,2026-02-10
643,9046,814,1,2026-01-03
644,864,806,4,2026-04-01
645,4958,440,4,2026-04-09
646,6456,367,3,2026-01-21
647,1979,641,1,2026-02-07
648,1211,107,3,2026-02-14
649,6905,465,4,2026-01-13
650,9680,453,3,2026-02-27
651,5680,573,4,2026-01-19
652,8998,236,3,2026-04-03
653,3467,865,4,2026-01-17
654,8896,614,4,2026-03-21
655,9026,862,1,2026-03-01
656,6617,660,2,2026-02-15
657,1257,906,5,2026-03-21
658,1669,303,4,2026-01-23
659,6661,807,2,2026-03-11
660,4314,303,3,2026-01-12
661,663,621,3,2026-01-02
662,3156,500,2,2026-02-13
663,1013,720,3,2026-02-01
664,2027,843,4,2026-01-03
665,8930,435,5,2026-04-09
666,9328,673,4,2026-03-17
667,2355,347,3,2026-02-28
668,2008,652,4,2026-02-18
669,2917,450,4,2026-04-08
670,2533,521,3,2026-02-05
671,7083,436,1,2026-03-23
672,8912,596,2,2026-02-12
673,4098,787,3,2026-03-14
674,8330,600,1,2026-04-10
675,2598,641,1,2026-03-23
676,8224,243,2,2026-03-18
677,4168,868,5,2026-03-16
678,8751,160,4,2026-03-23
679,8181,37,3,2026-01-15
680,1906,910,2,2026-03-29
681,1130,327,5,2026-02-17
682,7761,717,5,2026-03-04
683,2080,819,1,2026-04-15
684,7416,743,5,2026-03-13
685,4540,754,3,2026-01-12
686,4890,639,3,2026-03-16
687,3618,957,4,2026-02-27
688,4462,718,4,2026-04-07
689,6995,119,4,2026-04-09
690,816,806,3,2026-03-17
691,8537,821,5,2026-01-12
692,5106,755,2,2026-01-25
693,5034,767,1,2026-04-06
694,6461,78,3,2026-04-13
695,3378,615,5,2026-04-09
696,3773,916,5,2026-03-20
697,3747,245,4,2026-03-29
698,2729,837,5,2026-01-06
699,3476,597,1,2026-03-15
700,3594,561,4,2026-01-21
701,3086,5,2,2026-03-11
702,6895,369,2,2026-01-20
703,6413,246,2,2026-03-03
704,9805,167,3,2026-01-10
705,5367,791,3,2026-03-08
706,1258,780,5,2026-01-18
707,144,148,2,2026-01-16
708,9862,831,3,2026-03-09
709,4384,938,4,2026-01-01
710,6279,486,5,2026-02-28
711,791,962,1,2026-01-29
712,7956,458,3,2026-01-11
713,3664,424,1,2026-01-28
714,5093,27,3,2026-03-29
715,3234,569,2,2026-04-13
716,1362,879,4,2026-02-25
717,9203,428,3,2026-03-29
718,4044,669,3,2026-01-18
719,7225,950,4,2026-02-18
720,1232,817,4,2026-03-09
721,8011,654,3,2026-03-07
722,393,749,2,2026-01-12
723,5327,81,1,2026-04-01
724,2660,121,4,2026-04-15
725,192,633,4,2026-04-03
726,1059,98,1,2026-01-05
727,1176,147,4,2026-03-06
728,1686,0,4,2026-03-08
729,2253,273,5,2026-04-08
730,4216,959,1,2026-03-31
731,9976,319,3,2026-04-12
732,5069,435,2,2026-03-14
733,4909,666,5,2026-02-11
734,6239,852,3,2026-02-06
735,4472,936,5,2026-03-17
736,3531,311,5,2026-03-15
737,5474,220,1,2026-03-05
738,4211,77,2,2026-01-29
739,3194,913,5,2026-01-01
740,850,878,2,2026-04-10
741,2925,891,1,2026-01-04
742,994,246,1,2026-03-08
743,5872,906,2,2026-03-10
744,5706,391,5,2026-03-09
745,3495,494,1,2026-01-28
746,7072,977,2,2026-01-26
747,139,873,4,2026-01-22
748,9159,35,5,2026-02-20
749,6805,801,2,2026-03-28
750,9703,182,2,2026-02-17
751,4439,616,2,2026-01-21
752,4840,905,3,2026-04-05
753,7901,713,4,2026-01-05
754,3132,465,5,2026-01-01
755,6177,323,4,2026-03-02
756,6720,241,2,2026-02-09
757,2484,11,2,2026-01-22
758,2596,224,3,2026-04-03
759,1165,975,3,2026-02-04
760,1253,506,1,2026-04-07
761,2077,489,3,2026-03-26
762,1801,450,4,2026-04-07
763,5303,612,1,2026-04-02
764,6850,16,5,2026-02-04
765,3682,948,4,2026-01-06
766,4257,523,4,2026-03-17
767,963,247,3,2026-04-09
768,9727,310,4,2026-02-10
769,1789,848,3,2026-01-11
770,5081,669,3,2026-04-11
771,6721,489,2,2026-04-06
772,6499,970,1,2026-02-01
773,7114,76,3,2026-02-27
774,1056,274,2,2026-04-14
775,2023,492,2,2026-01-30
776,9775,350,4,2026-04-11
777,8861,289,1,2026-03-09
778,8916,250,2,2026-03-02
779,436,997,3,2026-01-12
780,6559,187,5,2026-01-22
781,5053,244,2,2026-02-15
782,5757,927,5,2026-02-19
783,6081,506,3,2026-02-10
784,836,647,3,2026-02-17
785,4806,436,2,2026-01-04
786,8887,66,4,2026-03-26
787,7115,840,2,2026-01-15
788,6984,557,2,2026-03-16
789,9874,764,1,2026-03-10
790,9347,750,3,2026-01-21
791,6380,136,3,2026-04-13
792,2692,362,1,2026-02-12
793,6283,885,3,2026-03-08
794,856,39,3,2026-01-30
795,2959,327,1,2026-01-20
796,2422,175,5,2026-04-07
797,2562,993,3,2026-02-22
798,6433,252,5,2026-03-30
799,5551,357,4,2026-03-09
800,9998,77,4,2026-02-07
801,5877,827,5,2026-01-29
802,7848,337,1,2026-03-25
803,4810,924,3,2026-01-16
804,1031,363,4,2026-03-18
805,8618,736,1,2026-01-26
806,1272,493,1,2026-04-08
807,7031,226,4,2026-03-10
808,9102,869,4,2026-01-16
809,3960,716,2,2026-01-29
810,1280,375,5,2026-04-15
811,4202,289,1,2026-03-16
812,7422,220,1,2026-02-02
813,6639,79,1,2026-01-17
814,9057,944,2,2026-04-12
815,3680,608,1,2026-03-14
816,5883,269,2,2026-01-14
817,1811,942,2,2026-01-20
818,634,461,2,2026-02-05
819,7294,851,2,2026-02-16
820,1054,241,4,2026-01-11
821,3747,374,5,2026-01-10
822,4536,34,2,2026-01-25
823,160,433,1,2026-02-03
824,1166,401,4,2026-01-08
825,5712,736,5,2026-03-19
826,7468,718,5,2026-02-13
827,7963,918,1,2026-02-16
828,1183,26,1,2026-02-24
829,4252,225,2,2026-03-22
830,5646,647,4,2026-03-09
831,9029,660,2,2026-02-24
832,936,333,3,2026-01-02
833,3083,606,4,2026-01-25
834,5595,426,2,2026-01-18
835,2100,962,1,2026-04-03
836,4610,751,4,2026-03-19
837,1374,699,3,2026-01-08
838,1045,813,5,2026-02-14
839,1232,229,2,2026-01-28
840,5303,919,4,2026-01-29
841,5315,95,2,2026-03-27
842,1234,316,4,2026-04-06
843,8396,600,4,2026-03-01
844,2321,59,4,2026-04-11
845,6278,262,5,2026-02-02
846,2938,403,1,2026-02-14
847,9552,170,3,2026-03-09
848,5639,328,1,2026-01-23
849,7723,105,3,2026-02-07
850,9562,740,5,2026-03-11
851,8499,814,4,2026-01-14
852,4071,809,2,2026-02-21
853,8738,359,3,2026-02-21
854,2879,467,2,2026-03-20
855,2958,134,5,2026-04-08
856,3930,366,5,2026-01-02
857,9550,435,5,2026-01-12
858,3882,942,2,2026-03-30
859,6690,92,3,2026-01-21
860,4030,720,4,2026-01-09
861,7679,133,1,2026-02-08
862,4210,800,2,2026-01-04
863,4219,245,1,2026-04-02
864,1280,383,1,2026-02-18
865,7381,462,4,2026-01-31
866,2807,686,1,2026-03-14
867,525,356,1,2026-02-24
868,5019,871,5,2026-01-09
869,113,863,1,2026-03-16
870,4126,515,4,2026-01-07
871,8798,531,2,2026-02-01
872,4238,944,4,2026-01-09
873,727,229,4,2026-02-26
874,3497,829,4,2026-03-16
875,2055,420,5,2026-02-21
